Table: Table_1

;;40 ;11. ;42 ;43 ;44 ;45 ;46. ;47. ;48 ;49 Il ;50. ;52. ;53. ;54 I ;55. ;56 ;67. ;62. ;65 ;66. ;67. ;70. ;71. ;72. ;78. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;88. ;1 ;
44 ;Dalarö ;12 ;96 ;6 ;58 ;;;3 ;22 ;197 ;1,300 ;320 ;3 - ;- ;3 - ;37 5 ;36 ;9.230 910 ;- -- ;1 1 ;- -- ;4 1 ;1 ;- ;40 ;107 ;5 ;56 ;8 ;402 ;86 ;80 ;8 ;92 ;10 ;430 ;48 ;
45| ;Vesterhaninge ;172 ;1,378 ;215 ;1,500 ;2 ;8 ;73 ;533 ;3,844 ;25,872 ;2,560 ;- ;;- ;110 ;120 ;26,575 ;- ;5 ;- ;5 ;5 ;- 1 ;60 65 ;19 345 ;34 ;14 214 ;3 ;97 ;20 ;44 ;- ;25 ;6 ;145 ;i44 ;
46 ;Muskö ;4 ;83 ;29 ;200 ;2 ;7 ;16 ;117 ;708 ;4,674 ;;5 ;14 ;7 ;20 ;25 ;4,346 ;- ;;- ;1 ;2 ;1 ;15 ;60 ;;68 ;35 ;1,250 ;404 ;434 ;- ;396 ;34 ;1,630 ;45 ;
47 ;Osmo ;214 ;1,714 ;221 ;1.549 ;6 ;24 ;169 ;1.233 ;2,832 ;18,690 ;315 ;9 ;21 ;14 ;165 ;170 ;28,889 ;- ;6 ;;8 ;5 ;1 ;100 ;342 ;4 44 ;324 ;8 43 ;406 1.576 ;125 570 ;462 931 ;1 ;139 ;7 ;1,210 ;46 ;
48 ;Sorunda ;164 ;1,315 ;246 ;1,725 ;8 ;33 ;170 ;1,241 ;3,930 ;25.938 ;5,125 ;11 ;30 ;13 ;150 ;155 ;41,473 ;- ;10 ;50 ;4 ;14 ;1 ;60 ;494 ;48 ;478 ;61 ;2,091 ;689 ;1,239 ;;557 689 ;7 ;2,746 ;47 ;
49 ;Torö ;- ;- ;24 ;169 ;1 ;4 ;6 ;44 ;424 ;2,798 ;- ;3 ;8 ;4 ;9 ;10 ;2.600 ;- ;1 ;;1 ;- ;- ;25 ;33 ;2 ;57 ;3 ;179 ;76 ;183 ;- - ;81 ;11 16 ;2.540 260 ;48 49 ;
;Sotholms härdd ;861 ;6,896 ;1.022 ;7.164 ;31 ;124 ;542 ;8,958 ;16,486 ;109,818 ;11.838 ;43 ;115 ;59 ;613 ;650 ;144,060 ;- ;33 ;50 ;82 ;42 ;5 ;530 ;1,851 ;184 ;1,528 ;205 ;7,996 ;2.482 ;4,617 ;9 ;2,488 ;I 127 ;11,540 ;;





