Table: Table_1

36 ;Almunge socken ;2.059 ;12.420 ;300 ;2,255 ;167 ;1,000 ;28 ;135 ;132 ;990 ;1,638 ;5,000 ;260 ;9 ;11 ;12 ;45 ;45 ;37,000 ;- ;5 ;;45 ;- ;- ;10 ;1 ;100 ;518 ;65 ;97 ;41 ;1,465 ;394 ;1,011 ;- ;318 ;69 ;2,500 ;36 ;
37 ;Bladdkers ;612 ;3,670 ;54 ;405 ;77 ;460 ;12 ;60 ;38 ;285 ;568 ;1,750 ;230 ;6 ;9 ;;;6 ;12,000 ;- ;5 ;;10 ;- ;- ;;;40 ;210 ;43 ;37 ;19 ;633 ;200 ;657 ;;116 ;21 ;900 ;37 ;
88 ;Edsbro ;878 ;6,150 ;70 ;530 ;117 ;705 ;16 ;75 ;15 ;110 ;1,083 ;3,300 ;- ;13 ;18 ;18 ;;2 ;13,000 ;- ;20 ;;10 ;;- ;5 ;1 ;15 ;318 ;64 ;15 ;19 ;831 ;186 ;888 ;;185 ;22 ;1,500 ;38 ;
sel ;Faringe ;805 ;5,645 ;60 ;450 ;89 ;535 ;17 ;80 ;22 ;160 ;650 ;1,950 ;- ;;6 ;;6 ;4 ;12,000 ;- ;;30 ;5 ;;;- ;;5 ;279 ;49 ;18 ;18 ;669 ;137 ;600 ;;173 ;41 ;1,000 ;199 ;
40 ;Knutby ;1,589 ;11,130 ;237 ;1,780 ;202 ;1,210 ;26 ;120 ;16 ;120 ;1,817 ;5,550 ;- ;11 ;17 ;15 ;30 ;18 ;19,000 ;- ;;;30 ;- ;- ;- ;- ;10 ;487 ;95 ;64 ;33 ;1,134 ;238 ;1,008 ;- ;299 ;61 ;2,000 ;40 ;
4t ;Ununge , ;697 ;4,880 ;49 ;375 ;85 ;520 ;11 ;50 ;12 ;85 ;766 ;2,310 ;;7 ;10 ;10 ;14 ;7 ;10,000 ;- ;10 ;- ;15 ;- ;- ;-- ;;20 ;262 ;70 ;27 ;10 ;640 ;163 ;541 ;;107 ;34 ;600 ;41 ;
;Närdinghundra härad ;6,640 ;43,895 ;770 ;5,795 ;737 ;4.430 ;110 ;520 ;235 ;1,750 ;0,522 ;19,860 ;490 ;50 ;71 ;68 ;109 ;82 ;103,000 ;-- ;45 ;30 ;115 ;- ;-- ;15 ;2 ;190 ;2.074 ;380 ;258 ;140 ;5,372 ;1,318 ;4.055 ;;1,198 ;248 ;8,500 ;;
49 ;Vaddö socken ;1,228 ;8,510 ;79 ;600 ;181 ;1,020 ;19 ;100 ;8 ;60 ;1.238 ;3,800 ;- ;19 ;38 ;18 ;14 ;9 ;17,000 ;---- ;10 ;;8 ;- ;- ;- ;- ;15 ;590 ;73 ;8 ;34 ;1.397 ;373 ;1.123 ;;307 ;10 ;1,500 ;42 ;
43 ;Häfverö ;818 ;5,720 ;37 ;265 ;102 ;615 ;22 ;100 ;3 ;22 ;1,101 ;3.500 ;- ;23 ;42 ;20 ;13 ;9 ;13,500 ;- ;10 ;;12 ;- ;;- ;-- ;20 ;477 ;70 ;21 ;25 ;1,136 ;287 ;1,066 ;;208 ;16 ;1,200 ;48 ;
44 ;Singö ;198 ;1.400 ;10 ;76 ;14 ;85 ;1 ;5 ;- ;;188 ;560 ;;;2 ;;3 ;1 ;1,850 ;-- ;2 ;;5 ;- ;- ;- ;- ;5 ;93 ;11 ;;5 ;209 ;66 ;262 ;;67 ;;300 ;44 ;
