Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. I ;32. ;33. ;34. ;35. ;;
51 ;Göteve ;16:13 ;78 ;10 ;4.860 ;4 ;965 ;800 ;85 ;6 ;4 ;;- ;;;;;120 ;425 ;1 ;55 ;2 ;2 ;;240 ;;120 ;;;576 ;;192 ;5,280 ;;3 ;51 ;
52 ;Jäla ;16:12 ;77 ;43 ;5.323 ;8 ;490 ;500 ;20 ;20 ;33 ;;;50 ;18 ;3 ;;52 ;235 ;10 ;87 ;3 ;4 ;21 ;28 ;;50 ;;;295 ;- ;156 ;2,000 ;138 ;30 ;52 ;
53 ;Klefva ;26:38 ;88 ;37 ;7.868 ;13 ;1.421 ;3.720 ;2.614 ;15 ;68 ;;;;10 ;;;255 ;620 ;30 ;90 ;4 ;2 ;75 ;120 ;- ;225 ;50 ;25 ;1,530 ;- ;800 ;7.000 ;450 ;100 ;53 ;
54 ;Marka ;19:13 ;45 ;34 ;4,397 ;7 ;2,240 ;1.280 ;25 ;4 ;37 ;;1 ;;11 ;;- ;122 ;875 ;25 ;140 ;35 ;3 ;225 ;575 ;- ;240 ;- ;- ;650 ;- ;525 ;5,000 ;100 ;20 ;54 ;
55 ;Sörby ;15:88 ;42 ;12 ;2.777 ;33 ;876 ;130 ;1.738 ;2 ;36 ;3 ;;;15 ;;;96 ;470 ;;32 ;;6 ;- ;160 ;- ;96 ;- ;- ;614 ;- ;256 ;5,324 ;;25 ;55 ;
56 ;Trevatina ;18:44 ;GO ;46 ;4,860 ;16 ;812 ;2.000 ;900 ;2 ;38 ;11 ;1 ;15 ;10 ;1 ;- ;160 ;400 ;5 ;40 ;6 ;;;100 ;- ;100 ;- ;- ;700 ;35 ;50 ;3,300 ;90 ;25 ;5G ;
57 ;Ullene 1) ;12:12 ;56 ;27 ;4.629 ;5 ;919 ;200 ;1.863 ;6 ;31 ;10 ;;- ;9 ;;- - ;78 ;500 ;2 ;45 ;2 ;2 ;10 ;50 ;- ;200 ;- ;G ;472 ;12 ;94 ;3,055 ;- ;G ;57 ;
;Summa för Vilske härad ;186.77 ;648 ;305 ;47,211 ;133 ;14,13S ;10.993 ;7.327 ;65 ;366 ;81 ;4 ;74 ;115 ;X 24 ;- ;1,408 ;7,632 ;171 ;804 ;137 ;42 ;551 ;1,864 ;8 ;1.491 ;115 ;51 ;7,182 ;77 ;4.683 ;60,509 ;1,378 ;359 ;;
58 ;Bierka ;19:13 ;16 ;27 ;4.629 ;5 ;1.941 ;680 ;2.003 ;- ;2 ;- ;2 ;27 ;14 ;- ;- ;315 ;461 ;50 ;240 ;20 ;4 ;101 ;450 ;- ;300 ;- ;- ;1,575 ;45 ;57 ;3,622 ;- ;44 ;58 ;
59 ;Bjurum ;15:13 ;36 ;40 ;15) 6.017 ;12 ;2,500 ;600 ;600 ;1 ;;1 ;;;75 ;- ;- ;350 ;700 ;30 ;400 ;;- ;400 ;300 ;- ;320 ;- ;- ;1,575 ;;600 ;4,000 ;- ;200 ;59 ;





