Table: Table_1

;1. ;36. ;37. ;38. ;39. ;4'0. ;44. ;45. ;46. ;47. ;48. ;49. ;50 ;51 ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43 ;Eling ;;30 ;- ;1,200 ;5 ;125 ;- ;2,500 ;119 ;240 ;12,000 ;140 ;135 ;- ;120 ;- ;6,000 ;;20 ;- ;- ;3,300 ;75 ;33 ;26 ;2 ;233 ;60 ;105 ;- ;GO ;;
44 ;Essunga ;10 ;60 ;- ;8,600 ;50 ;290 ;;15,860 ;200 ;456 ;47,574 ;600 ;80 ;20 ;200 ;- ;43,000 ;3,000 ;100 ;75 ;- ;45,000 ;250 ;75 ;30 ;12 ;775 ;150 ;500 ;- ;350 ;;
45 ;Foglum ;3 ;30 ;- ;2,000 ;30 ;1,700 ;280 ;6,500 ;350 ;650 ;11,075 ;100 ;65 ;12 ;120 ;- ;8,000 ;;120 ;- ;;;95 ;39 ;15 ;6 ;340 ;155 ;150 ;- ;70 ;;
46 ;Hällum ;;425 ;;600 ;P ;750 ;;2,600 ;;950 ;14,800 ;200 ;300 ;;1,700 ;- ;2,800 ;1,000 ;;- ;1,000 ;6,000 ;90 ;10 ;20 ;5 ;220 ;60 ;100 ;- ;50 ;;
47 ;Kedum ;2 ;150 ;2 ;2,000 ;25 ;640 ;4 ;7,584 ;35 ;425 ;60,742 ;200 ;50 ;2 ;250 ;- ;16,000 ;4,000 100 ;50 ;;;10,000 ;170 ;35 ;10 ;8 4 ;540 ;140 ;220 ;- ;70 ;;
48 ;Lek&sa ;2 ;70 ;- ;1,500 ;30 ;300 ;50 ;6,400 ;100 ;420 ;18,600 ;280 ;189 ;4 ;243 ;- ;6,000 ;;GO ;10 ;;12,000 ;90 ;30 ;16 ;;300 ;180 ;290 ;- ;100 ;;
49 ;Levene (del) Long ;;81 200 ;- - ;408 1,800 ;6 8 ;630 1,000 ;- - ;3,000 7,000 ;;250 750 ;10,580 38,000 ;- ;300 ;- ;1,000 ;- ;2,448 10,000 ;2,000 ? ;8 40 ;- - ;2,500 ;4,500 16,000 ;33 145 ;4 28 ;4 8 ;3 G ;116 455 ;22 90 ;47 180 ;- - ;22 ;;
50 ;Naum ;3 ;74 ;2 ;3,600 ;40 ;300 ;40 ;8,875 ;20 ;180 ;43,708 ;;225 ;12 ;222 ;10 ;18,000 ;P ;160 ;- ;- ;;160 ;65 ;24 ;12 ;330 ;70 ;240 ;- ;90 ;;
51 ;Ryda med Half&s ;;300 ;;2,200 ;? ;2,376 ;;14,870 ;;800 ;59,550 ;2,000 ;1,000 ;;600 ;- ;13,200 ;P ;;;- ;: ;290 ;90 ;19 ;10 ;690 ;200 ;310 ;;165 ;;
