Table: Table_1

Vamb ;;;;1,600 ;;;;200 ;2.400 ;- ;200 ;8,500 ;- ;160 ;;;;9,600 ;;;;;;59 ;5 ;30 ;;130 ;50 ;TOO ;;50 ;;
Summa Kükinde härad ;;665 ;;88,220 ;X 215 ;;13,119 ;1,800 ;162,034 ;1,620 ;7,725 ;484,520 ;1,690 ;4,763 ;- ;2,120 ;- ;609,200 ;41,690 ;040 ;125 ;6,310 ;136,300 ;970 ;148 ;3,134 ;115 ;0,822 ;2,204 ;6,289 ;- ;1,953 ;1,000 ;
Acklinga ;;96 ;;1.935 ;12 ;;384 ;;6.016 ;- ;630 ;20,250 ;;240 ;;480 ;- ;15,480 ;1.800 ;48 ;36 ;150 ;6,000 ;30 ;20 ;128 ;7 ;235 ;145 ;91 ;- ;;;
Angarp ;;106 ;;3,360 ;3° ;;X 1.226 ;X 50 ;13,400 ;- ;452 ;36,080 ;X 600 ;290 ;;230 ;- ;21,700 ;1,200 ;;21 ;10 ;;127 ;25 ;269 ;;547 ;240 ;338 ;;;;
Baltak ;;15 ;;1,900 ;;;72 ;;3,500 ;;;12,500 ;;72 ;;75 ;;12,000 ;- ;- ;;;;30 ;8 ;86 ;;155 ;85 ;185 ;;;;
Bottnaryd ;;;;1,260 ;;;;72 ;1,008 ;184 240 ;125 ;3,500 21,700 ;384 ;- ;;- ;- ;7,560 24,192 ;- - ;- - 5 ;4 - ;- ;425 ;;;24 ;;51 ;14 ;45 150 ;;;;
Bjurbäck ;;;;2,688 ;;;;X ;4,896 ;;300 ;;;;;;;;;;;;;19 ;15 ;120 ;;330 ;50 ;;;;;
Brandstorp ;;;;7,000 ;;;125 ;300 ;8,900 ;185 ;800 ;25,000 ;720 ;100 ;;;;42,000 ;;;- ;;;27 ;;230 ;;400 ;250 ;320 ;;;;
Daretorp ;;;;8,500 ;10 ;;150 ;80 ;3,250 ;220 ;140 ;22,400 ;300 ;40 ;12 ;100 100 ;- ;24,500 15,000 ;300 ;20 ;- ;X 140 ;1.500 ;50 ;10 ;240 ;10 ;380 ;200 ;575 ;;;;
Dimbo ;;;;3,000 ;10 ;;X 220 ;X 45 ;7,500 ;150 ;4,000 ;35,500 ;200 ;400 ;;;- ;;;50 ;- ;350 ;21,000 ;60 ;15 ;150 ;8 ;340 ;150 ;400 ;;;;
Falköpings landsförsamling ;;;;700 ;;;;;6,400 ;6o ;2,500 ;28,000 ;;;;50 ;;i'200 ;12,000 ;;- ;;20,000 ;65 ;10 ;30 ;;300 ;40 ;50 ;;;;
Fridene. ;;;;300 ;;;400 ;X 30 ;1,800 ;;180 ;22,800 ;;60 ;;;;;;;- ;;;32 ;;106 ;;215 ;65 ;70 ;;;;
Fröjered ;;;;1,530 ;20 ;;900 ;125 ;1,200 ;X 100 ;100 ;30,600 ;100 ;120 ;30 ;250 ;;9.000 ;1,000 ;60 ;;1,200 ;12.000 ;68 ;20 ;200 ;;600 ;200 ;600 ;;;;
Gerum ;;;;1,872 ;;;30 ;;3,696 ;- ;720 ;7,008 ;;240 ;;;- ;13,104 ;;18 ;3 ;;9,850 ;27 ;8 ;62 ;3 ;117 ;52 ;200 ;;;;
Gustaf Adolf ;;;;9,000 ;30 ;;85 ;;16,000 ;550 ;200 ;52,000 ;1,700 ;IIO ;;;;65,000 ;;18 ;13 ;;;20 ;6 ;320 ;8 ;500 ;400 ;8oo ;;;;
Habo ;;;;;;;;150 ;;X 980 ;;98,450 ;2,44° ;;;;;108.584 ;100 ;;;10,000 ;5,200 ;;;;;;;1,360 ;;;;
Hvarf. ;;;;3.260 ;;;140 ;;3.480 ;;540 ;14,340 ;;150 ;- ;;;22,620 ;;;- ;;;35 ;12 ;488 ;2020 ;;340 40 ;100 ;;;;
Hvalstad ;;;;6,000 ;;;;;8,820 ;;780 ;25,250 ;- ;240 ;;- ;;36,000 ;-- ;IOO ;;- ;- ;50 ;15 ;180 ;S ;240 ;125 ;260 ;;170 ;;





