Table: Table_1

;1. ;2. ;3. ;4. ;;5, ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;;15, ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
;Brandstorp ;16:84 ;86 ;;14,811 ;;7.810 ;10 ;4.575 ;1.225 ;2.000 ;;;;;;;;;;450 275 ;430 395 ;15 ;225 120 ;;;1,800 ;1.400 ;- ;235 ;125 ;125 ;1,900 ;100 ;;2,880 ;150 ;;
;Daretorp ;17:38 ;110 ;;17.820 ;;;14 ;1.169 ;1.249 ;3,500 ;12 ;;;;;;;;;150 ;;11 ;;;;;;;270 ;35 ;20 ;1,320 ;55 ;;3.058 ;;;
;Dimbo ;26:63 ;;;;4,860 ;2,540 ;16 ;1.850 ;130 ;104 ;;;;;;;;;;140 ;766 ;;;;;218 ;468 ;5 ;150 ;50 ;;850 ;;190 ;5,000 ;;;
;Falköpings landsförs. (del). ;14:30 ;;;;2.083 ;;6 ;1.750 ;52 ;275 ;;;;;;;;;;230 ;775 495 ;10 5 ;;;;245 ;375 ;;140 ;95 ;;770 ;;700 ;4.000 ;;;
;Fridene ;12:75 ;;46 ;;5,786 ;4,862 ;12 ;1,575 ;400 ;325 ;14 ;;;;;;;;;600 ;;25 ;;;;115 ;530 ;- ;175 ;;;600 ;;30 ;3.500 ;;;
;;17:69 ;;91 ;13.423 ;;;30 ;5,523 ;2.500 ;5,370 ;24 ;;;;;;;;;;1.613 ;;;30 ;;1,000 ;1,568 ;- ;600 ;150 ;10 ;2,600 ;;60 ;9,000 ;;;
;Fröjered Gerum ;9:75 ;;;2.132 ;;1,284 ;;482 ;400 ;;;;;;;;;;;78 ;215 ;10 ;;;;;;;;;;468 ;;120 ;1,740 ;;;
;Fiskebäcks kapell ;23:00 ;130 ;105 ;21.523 ;;;28 ;2.000 ;1.800 ;4.000 ;1 ;125 ;;;;;;;;280 ;700 ;2 ;230 ;;;;480 ;10 ;283 ;15 ;;3,000 ;X 150 ;40 ;10,000 ;320 ;;
63 ;Habo (länsdel) ;41:90 ;255 ;101 ;26.152 ;;;30 ;4.282 ;9,040 ;12.800 ;? ;;;;;;;;;540 ;1.893 ;11 ;380 ;;;;715 ;;704 ;40 ;30 ;4.400 ;305 ;175 ;18.380 ;520 ;;
;Hyarf. ;12:50 ;22 ;12 ;2.083 ;;;;744 ;50 ;1,115 ;;;;;;;;;;100 ;320 ;13 ;82 ;;;40 ;;;80 ;10 ;- ;560 ;;70 ;3,600 ;;;
;Hvalstad ;26:75 ;46 ;31 ;;4.397 ;;15 ;2,390 ;500 ;1,007 ;G ;;;;;;;5 ;;450 ;748 ;2 ;420 ;60 ;;175 ;133 ;;400 ;;- ;2,290 ;- ;140 ;6,000 ;;10 ;





