Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56, ;58. ;59. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Sandbäck eller Kyrk&s ;2 ;;- ;750 ;8 ;24 ;X 30 ;4,400 ;120 ;108 ;13,550 ;108 ;70 ;- ;;- ;6,740 ;1,200 ;56 ;9 ;36 ;12 ;8 ;3 ;104 ;30 ;80 ;- ;25 ;- ;
Skarstad ;- ;920 ;- ;1,330 ;9 ;2.125 ;- ;11,378 ;- ;1.956 ;38,295 ;875 ;4,465 ;;3,000 ;- ;4,670 ;- ;34 ;- ;256 ;29 ;12 ;6 ;275 ;143 ;376 ;- ;93 ;- ;
Vara ;- ;200 ;- ;800 ;25 ;2,100 ;- ;8.000 ;- ;150 ;25,800 ;1,500 ;500 ;- ;600 ;- ;6.400 ;- ;50 ;- ;136 ;12 ;8 ;2 ;320 ;30 ;150 ;- ;80 ;- ;
Ásaka ;;16 ;- ;2,200 ;70 ;40 ;18 ;3,350 ;50 ;120 ;20,300 ;300 ;80 ;;45 ;- ;6,000 ;;140 ;- ;125 ;40 ;30 ;;300 ;270 ;345 ;- ;75 ;;
Onum ;2 ;450 ;- ;2,000 ;10 ;1,000 ;24 ;4,700 ;50 ;600 ;30.175 ;1.150 ;150 ;8 ;1,500 ;- ;10,000 ;140 ;25 ;- ;125 ;30 ;10 ;5 ;275 ;85 ;300 ;- ;25 ;- ;
Summa Barne härad ;16 ;3,673 ;13 ;27,915 ;X 466 ;14,618 ;340 ;106,957 ;679 ;10,332 ;440,138 ;18,298 ;12,090 ;41 ;16,945 ;77 ;182,530 ;1,340 ;1,325 ;106 ;1,941 ;465 ;275 ;82 ;4,815 ;1,737 ;3,416 ;- ;1.116 ;X 40 ;
Broby ;- ;10 ;- ;300 ;4 ;490 ;- ;3,225 ;- ;125 ;15,500 ;- ;160 ;;40 ;- ;1.300 ;- ;10 ;- ;35 ;15 ;28 ;2 ;85 ;45 ;80 ;- ;30 ;- ;
Hangelösa ;2 ;140 ;;1,920 ;10 ;1,645 ;X 195 ;5,500 ;45 ;250 ;24,600 ;200 ;570 ;14 ;175 ;- ;11,650 ;;35 ;- ;135 ;32 ;40 ;6 ;460 ;150 ;340 ;- ;160 ;;
Hasslösa ;- ;90 ;- ;940 ;16 ;1,750 ;;8,300 ;- ;630 ;33.100 ;;1.250 ;- ;580 ;- ;10,550 ;10,000 ;- ;12 ;118 ;16 ;34 ;7 ;320 ;95 ;130 ;- ;57 ;;
Husaby ;- ;140 ;- ;8,500 ;;1,040 ;140 ;9,450 ;- ;3,000 ;13.000 ;2,000 ;600 ;- ;280 ;- ;51,000 ;;- ;- ;144 ;40 ;100 ;5 ;400 ;170 ;500 ;;100 ;;
Hofby ;- ;100 ;- ;1,250 ;9 ;1,500 ;X 40 ;4,200 ;- ;400 ;30,000 ;;900 ;- ;100 ;- ;10,000 ;20,000 ;30 ;10 ;90 ;18 ;20 ;7 ;350 ;50 ;100 ;- ;20 ;;





