Table: Table_1

;Hökhufvuds ;823 ;5,745 ;116 ;815 ;122 ;750 ;9 ;44 ;5 ;38 ;927 ;2,800 ;900 ;;13 ;6 ;19 ;12 ;7,000 ;-- ;6 ;50 ;20 ;- ;--- ;2 ;1 ;50 ;374 ;103 ;58 ;37 ;667 ;266 635 ;;166 ;12 ;1,200 ;84 ;
;Valö ;864 ;6,020 ;45 ;315 ;72 ;430 ;12 ;60 ;-- ;;917 ;2,750 ;;12 ;18 ;11 ;8 ;4 ;7,250 ;- ;5 ;160 ;10 ;- ;- ;1 ;1 ;40 ;442 ;111 ;7 ;69 ;919 ;376 1,198 ;;268 ;7 ;1,500 ;35 ;
;Frösäkers härad ;5,825 ;40,760 ;482 ;3,388 ;533 ;2,985 ;73 ;359 ;80 ;590 ;6,499 ;20,060 ;13,000 ;65 ;108 ;62 ;132 ;100 ;79,800 ;- ;44 ;210 ;100 ;- ;- ;7 ;3 ;290 ;2,723 ;601 ;242 ;305 ;6,105 ;2,320 6,713 ;- ;1,773 ;73 ;8,600 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36 ;Almunge socken ;2,059 ;12,420 ;800 ;2,255 ;167 ;1,000 ;28 ;135 ;132 ;990 ;1,638 ;5,000 ;260 ;9 6 ;11 ;12 ;45 ;45 6 ;37,000 12,000 ;- ;5 5 ;- ;45 10 ;;- - ;10 ;1 ;100 40 ;518 210 ;65 43 ;97 87 ;41 19 ;1,465 638 ;394 1,011 200 657 ;- ;318 116 ;69 21 ;2,500 900 ;36 ;
;Bladdkers ;612 ;3,670 ;54 ;405 ;77 ;460 ;12 ;60 ;38 ;285 ;568 ;1,750 ;230 ;;9 ;9 ;;;;- ;;- ;;- ;;;1 ;15 ;318 ;64 ;15 ;19 ;831 ;186 838 ;--- ;185 ;22 ;1,500 ;;
;Edsbro * ;878 ;6,150 ;70 ;530 ;117 ;705 ;16 ;75 ;15 ;110 ;1,083 ;3,300 ;- ;13 ;18 ;18 ;7 ;2 ;13,000 ;- ;20 ;;10 ;- ;;5 ;;;;;;;669 ;600 ;;;;;38 ;
;Faringe " ;805 ;5,645 ;60 ;450 ;89 ;535 ;17 ;80 ;22 ;160 ;650 ;1,950 ;- ;;6 ;4 ;6 ;4 ;12.000 ;- ;;30 ;;- ;- ;- ;- ;5 ;279 ;49 ;18 ;18 ;;137 238 ;;173 ;41 61 ;1,000 ;39 ;
;Knutby " ;1,589 ;11.130 ;237 ;1,780 ;202 ;1,210 ;26 ;120 ;16 ;120 ;1,817 ;5,550 ;- ;11 ;17 ;15 ;30 ;18 ;19,000 ;- ;;;30 ;--- ;;;- ;10 ;487 ;95 ;64 ;83 ;1,134 ;1,008 ;;299 ;;2,000 ;40 ;
;Ununge , ;697 ;4,880 ;49 ;375 ;85 ;520 ;11 ;50 ;12 ;85 ;766 ;2,310 ;;7 ;10 ;10 ;14 ;7 ;10,000 ;- ;10 ;- ;15 ;;;- ;-- ;20 ;262 ;70 ;27 ;10 ;640 ;163 541 ;;107 ;34 ;600 ;41 ;
;Närdinghundra härad ;6,640 ;43,895 ;770 ;5,795 ;737 ;4,430 ;110 ;520 ;235 ;1,750 ;6,522 ;19,860 ;490 ;50 ;71 ;68 ;109 ;82 ;103,000 ;- ;45 ;30 ;115 ;- ;-- ;15 ;2 ;190 ;2,074 ;386 ;258 ;140 ;5,372 ;1,318 4,655 ;;1,198 ;248 ;8,500 ;;
49 ;Vaddo socken ;1,228 ;8,510 ;79 ;600 ;181 ;1,020 ;19 ;100 ;8 ;60 ;1,288 ;3,800 ;- ;19 ;38 ;18 ;14 ;9 ;17,000 ;- ;10 ;-- ;8 ;- ;;- ;- ;15 ;590 ;75 ;8 ;34 ;1,397 ;373 1,123 ;;307 ;10 ;1,500 ;42 ;
43 ;Häfverö ;818 ;5,720 ;37 ;265 ;102 ;615 ;22 ;100 ;3 ;22 ;1,101 ;3,500 ;- ;23 ;42 ;20 ;13 ;9 ;13,500 ;- ;10 ;- ;12 ;;;- ;- ;20 ;477 ;70 ;21 ;25 ;1,136 209 ;287 1,066 ;;208 ;16 ;1,200 300 ;48 ;
" ;Singö ;198 ;1,400 ;10 ;76 ;14 ;85 ;1 ;5 ;- ;- ;188 ;560 ;- ;1 ;2 ;1 ;3 ;1 ;1,850 ;-- ;2 ;- ;5 ;- ;-- ;- ;- ;5 ;93 ;11 ;;5 ;;66 262 ;;67 ;;;44 ;
;Vaddõ och Häfverö skeppelag ;2,244 ;15,630 ;126 ;941 ;297 ;1,720 ;42 ;205 ;" ;82 ;2,527 ;7,860 ;- ;43 ;82 ;39 ;30 ;19 ;32,350 ;- ;22 ;- ;25 ;- ;- ;- ;- ;40 ;1,160 ;156 ;20 ;64 ;2,742 ;726 2,451 ;- ;582 ;26 ;3,000 ;;
45| ;Sõderby-Karls soeken ;1,977 ;13,830 ;26 ;195 ;264 ;1,590 ;26 ;131 ;26 ;195 ;1,985 ;6,000 ;750 ;17 ;20 ;20 ;23 ;15 ;24,020 ;- ;8 ;-- ;20 ;- ;-- ;- ;- ;50 ;374 ;85 ;54 ;36 ;1,049 ;215 925 ;2 ;93 ;25 ;2,500 ;145 ;
46 ;Estuna ;1,730 ;12,140 ;100 ;745 ;231 ;1,885 ;12 ;60 ;26 ;200 ;1,584 ;4,650 ;800 ;;8 ;10 ;22 7 ;18 ;20,000 ;;;- - ;25 8 ;- ;- ;-- ;- ;80 ;358 219 ;61 60 ;74 42 ;35 14 ;868 557 ;179 832 140 510 ;1 ;136 76 ;33 24 ;1,800 1,200 ;46 47 ;
47 ;Lohärads ;876 ;5,830 ;52 ;390 ;186 ;810 ;13 ;65 ;10 ;72 ;919 ;2.750 ;- ;10 ;15 ;11 ;;2 ;9,060 ;;;;;;;- ;- ;10 ;;15 ;12 ;5 ;201 ;33 203 ;;30 ;15 ;300 ;;
48 ;Malsta ;377 ;2,640 ;18 ;135 ;56 ;330 ;7 ;34 ;18 ;135 ;372 ;1,120 ;- ;;3 ;3 ;4 ;3 ;1,910 ;- ;2 ;;5 ;-- ;- ;- ;- ;;83 ;;;;536 ;;;;;;48 ;
;Husby-lyhundra , ;885 ;6,205 ;48 ;360 ;175 ;1,070 ;24 ;115 ;8 ;63 ;1,059 ;3,200 ;-- ;10 ;14 ;15 ;8 ;3 ;4,870 ;- ;5 ;- ;7 ;- ;;- ;- ;20 ;290 ;53 ;30 ;30 ;;162 438 ;;50 ;40 ;1,200 ;49 ;
;härad ;;40,645 ;244 ;1,825 ;862 ;5,185 ;82 ;405 ;88 ;665 ;5,919 ;17,720 ;1,550 ;46 ;60 ;59 ;64 ;41 ;59,860 ;- ;27 ;- ;65 ;- ;- ;- ;- ;110 ;1,324 ;274 ;212 ;120 ;3,211 ;729 2,908 ;3 ;385 ;137 ;7,000 ;;





