Table: Table_1

;1. ;40. ;41. ;42. ;43. ;44. ;45. Il ;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56 ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73 ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81 I ;82. ;83. 11. ;
36 ;Ingarö ;68 ;516 ;30 ;218 ;;- ;- ;- ;596 ;1,790 ;5,503 ;- ;- ;- ;28 ;8 ;6,745 ;- ;- ;- ;- ;12 ;3 ;10 ;106 ;9 ;24 ;13 ;473 ;95 ;24 ;- ;110 ;8 ;545,86 ;
37 ;Djurö ;;57 ;6 ;40 ;- ;- ;- ;- ;721 ;2,163 ;495 ;- ;- ;- ;11 ;3 ;4,305 ;- ;- ;;;;;10 ;47 ;2 ;10 ;;224 ;50 ;45 ;- ;114 ;3 ;645'87 ;
38 ;Bo. ;110 ;829 ;12 ;86 ;;;- ;- ;372 ;1,118 ;1,004 ;;- ;- ;12 ;5 ;4.961 ;- ;- ;- ;- ;4 ;- ;21 ;76 ;3 ;14 ;12 ;263 ;38 ;8 ;- ;45 ;6 ;350 38 ;
39 ;Möja ;12 ;92 ;11 ;79 ;2 ;10 ;- ;- ;1,155 ;3,468 ;1,000 ;;- ;-- ;5 ;4 ;1,544 ;- ;- ;- ;- ;;- ;- ;30 ;1 ;;12 ;213 ;102 ;74 ;- ;93 ;15 ;240 39 ;
;Värmdö skeppslag ;419 ;3,160 ;158 ;1,119 ;2 ;10 ;6 ;46 ;5,573 ;16,728 ;25,509 ;- ;- ;- ;182 ;57 ;51,638 ;- ;10 ;- ;69 ;38 ;47 ;488 ;703 ;56 ;176 ;117 ;2,610 ;685 ;546 ;2 ;1,841 ;73 ;5,824 ;
40 ;Österhaninge ;237 ;1,779 ;184 ;1,291 ;2 ;10 ;60 ;421 ;2,039 ;8.157 ;16.253 ;- ;- ;- ;126 ;78 ;23,606 ;- ;X 2 ;- ;5 ;1 ;- ;150 ;435 ;36 ;130 ;43 ;1,530 ;278 ;471 ;- ;367 ;38 ;2,450 40 ;
41 ;Ornö ;40 ;304 ;33 ;237 ;- ;- ;6 ;42 ;418 ;1.672 ;1,948 ;- ;X - ;- ;16 ;8 ;2,552 ;- ;- ;;- ;8 ;0.6 ;28 ;45 ;5 ;45 ;9 ;219 ;61 ;246 ;- ;57 ;;300,41 ;
42 ;Nämdö ;- ;- ;19 ;135 ;- ;- ;- ;- ;297 ;1,188 ;;;- ;- ;8 ;2 ;1,298 ;- ;- ;- ;- ;- ;- ;25 ;13 ;;6 ;6 ;89 ;37 ;63 ;- ;37 ;- ;190 42 ;
48 ;Uto ;;;21 ;144 ;- ;- ;- ;- ;230 ;927 ;1,807 ;- ;- ;- ;15 ;6 ;2,908 ;- ;- ;- ;;- ;- ;10 ;33 ;2 ;26 ;8 ;211 ;61 ;271 ;- ;44 ;;620 ;
14 ;Tyresö ;36 ;277 ;46 ;311 ;- ;- ;- ;- ;740 ;2,968 ;1,960 ;;;;as ;23 ;7,856 ;- ;4 ;- ;24 ;7 ;- ;110 ;131 ;16 ;64 ;23 ;472 ;173 ;59 ;5 ;126 ;20 ;621 44 ;
45 ;Dalarö ;10 ;73 ;13 ;93 ;- ;;;;273 ;1,093 ;;- ;- ;- ;5 ;1 ;929 ;- ;1 ;- ;;- ;- ;40 ;24 ;;4 ;4 ;74 ;14 ;39 ;- ;30 ;;135 ;
