Table: Table_1

29 ;Börstil ;486 ;3.650 ;225 ;1,575 ;34 ;176 ;40 ;284 ;3,018 ;12.076 ;12.350 ;15 ;35 ;15 ;68 ;42 ;15,912 ;- ;6 ;- ;7 ;30 ;08 ;151 ;911 ;210 ;6 ;86 ;2,511 ;679 ;2,623 ;- ;796 ;76 ;4,125 ;29 ;
;Edebo ;525 ;3,940 ;165 ;1,160 ;18 ;94 ;36 ;258 ;2,097 ;8,391 ;20,150 ;15 ;32 ;20 ;84 ;55 ;14,834 ;- ;8 ;15 ;10 ;7 ;03 ;143 ;380 ;77 ;14 ;29 ;1.168 ;384 ;478 ;- ;403 ;21 ;2,555 ;30 ;
;Forsmark ;157 ;1.175 ;34 ;241 ;2 ;12 ;2 ;18 ;571 ;2,288 ;6,503 ;3 ;8 ;5 ;14 ;12 ;2,450 ;- ;- ;- ;1 ;53 ;- ;82 ;106 ;25 ;20 ;9 ;321 ;84 ;276 ;- ;150 ;18 ;792 ;31 ;
32 ;Grüeö Harg ;65 386 ;490 2,523 ;91 107 ;642 752 ;8 21 ;47 113 ;6 25 ;45 181 ;968 2,293 ;3,870 9.169 ;2,607 19.504 ;2 12 ;5 27 ;3 13 ;13 46 ;6 49 ;3,207 ;- ;- ;- ;;;;16 ;130 ;12 ;5 ;26 ;609 ;234 ;600 ;- ;232 ;- ;1,090 ;82 ;
34 ;Hökhufvud ;646 ;4.849 ;124 ;875 ;7 ;39 ;30 ;207 ;1,010 ;4.044 ;13,653 ;9 ;21 ;12 ;53 ;40 ;9.451 8.679 ;- - ;11 9 ;27 ;11 7 ;28 81 ;5 17 ;66 70 ;339 288 ;91 82 ;8 2 ;25 23 ;1,117 700 ;338 297 ;652 586 ;- - ;409 257 ;25 9 ;2.730 1,120 ;33 34 ;
85 ;Valö ;542 ;4,065 ;133 ;930 ;18 ;97 ;24 ;165 ;1,895 ;7,582 ;9,755 ;12 ;24 ;16 ;32 ;17 ;9,379 ;- ;2 ;16 ;- ;6 ;- ;25 ;454 ;97 ;20 ;43 ;1.148 ;366 ;1,157 ;- ;837 ;31 ;1,885 ;35 ;
;Frösakers härad ;2,757 ;20,692 ;879 ;6,175 ;108 ;578 ;163 ;1,158 ;11,852 ;47,420 ;84,522 ;68 ;159 ;84 ;810 ;221 ;63,912 ;- ;X 36 ;58 ;36 ;205 ;23-1 ;503 ;2,601 ;594 ;75 ;241 ;7,574 ;2.382 ;6,372 ;- ;2,584 ;ISO ;13,797 ;;
36 ;Almunge ;811 ;5,679 ;236 ;1.653 ;17 ;89 ;37 ;260 ;2,106 ;8,427 ;18,602 ;15 ;33 ;17 ;99 ;67 ;22,900 ;- ;2 ;- ;5 ;128 ;- ;63 ;443 ;113 ;20 ;54 ;1,448 ;379 ;474 ;- ;442 ;13 ;1,708 ;36 ;
;Knutby ;557 ;3,899 ;180 ;1,260 ;17 ;94 ;35 ;247 ;1,588 ;6,359 ;9,000 ;9 ;20 ;9 ;60 ;57 ;17,445 ;- ;3 ;- ;3 ;32 ;6 ;50 ;315 ;54 ;20 ;30 ;1.011 ;222 ;490 ;- ;257 ;27 ;954 ;87 ;
;Faringe ;211 ;1,481 ;109 ;768 ;11 ;60 ;18 ;133 ;1,028 ;4.118 ;7.208 ;5 ;13 ;7 ;52 ;45 ;9,223 ;- ;- ;- ;1 ;24 ;- ;37 ;204 ;64 ;6 ;18 ;679 ;151 ;460 ;- ;148 ;17 ;983 ;38 ;
;Bladaker ;243 ;1,709 ;87 ;612 ;11 ;55 ;18 ;136 ;976 ;3,910 ;9,605 ;12 ;28 ;15 ;41 ;38 ;7,220 ;- ;- ;- ;2 ;11 ;3 ;26 ;190 ;57 ;14 ;23 ;608 ;183 ;402 ;;164 ;14 ;785 ;39 ;
40 ;Ununge ;197 ;1,383 ;92 ;649 ;18 ;94 ;22 ;154 ;1.161 ;4,644 ;4,206 ;8 ;21 ;12 ;30 ;18 ;7.705 ;- ;;55 ;2 ;6 ;;40 ;178 ;31 ;- ;14 ;603 ;139 ;188 ;- ;175 ;4 ;1,188 ;40 ;
41 ;Edsbro ;211 ;1,479 ;101 ;713 ;17 ;82 ;22 ;159 ;1,293 ;5,175 ;6,000 ;8 ;16 ;10 ;34 ;20 ;8,869 ;- ;7 ;- ;- ;- ;0.1 ;42 ;255 ;59 ;- ;14 ;891 ;213 ;617 ;- ;245 ;17 ;1,226 ;41 ;
;Närdinghundra häred ;2,230 ;15,630 ;805 ;5,655 ;91 ;474 ;159 ;1,089 ;8,152 ;82,683 ;54,621 ;57 ;131 ;70 ;816 ;245 ;72,862 ;- ;16 ;55 ;13 ;201 ;9.1 ;258 ;1,585 ;378 ;60 ;153 ;5,240 ;1,287 ;2.631 ;- ;1,431 ;92 ;6,843 ;;
;Vaddo ;320 ;2,243 ;183 ;1,248 ;31 ;158 ;23 ;160 ;2.936 ;10.276 ;4,505 ;9 ;20 ;7 ;71 ;32 ;8,821 ;- ;16 ;- ;- ;122 ;7 ;117 ;427 ;63 ;- ;23 ;1,518 ;414 ;1.167 ;- ;761 ;14 ;2,785 ;42 ;
;Häfverö ;231) ;1,613 ;161 ;1,097 ;20 ;104 ;17 ;119 ;1,896 ;6.638 ;8,000 ;6 ;11 ;4 ;47 ;23 ;8,894 ;- ;1 ;- ;2 ;21 ;- ;86 ;454 ;121 ;- ;13 ;1,459 ;323 ;1.141 ;- ;594 ;22 ;2,971 ;43 ;
44 ;Singö ;53 ;375 ;31 ;215 ;4 ;23 ;3 ;24 ;441 ;1.545 ;509 ;3 ;9 ;2 ;10 ;2 ;975 ;- ;- ;- ;- ;- ;- ;18 ;75 ;11 ;- ;9 ;226 ;89 ;440 ;- ;125 ;- ;455 ;44 ;
;Väddö och Häfverö skeppalag ;603 ;4,231 ;375 ;2,560 ;55 ;285 ;43 ;303 ;5,273 ;18,459 ;13,014 ;18 ;40 ;13 ;128 ;57 ;18,690 ;- ;17 ;- ;2 ;143 ;7 ;291 ;956 ;195 ;- ;15 ;3,203 ;826 ;8,748 ;- ;1,480 ;30 ;6.211 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Söderby-Karl ;474 ;3.415 ;262 ;1,785 ;25 ;128 ;38 ;261 ;2,349 ;9.398 ;18,000 ;12 ;25 ;20 ;75 ;69 ;21,692 ;- ;4 ;- ;3 ;1 ;- ;123 ;399 ;89 ;4 ;50 ;1,297 ;328 ;512 ;- ;357 ;35 ;1,581 ;45 ;
;Estuna ;449 ;3,240 ;234 ;1.590 ;22 ;106 ;33 ;228 ;1,840 ;7.365 ;13,010 ;6 ;15 ;11 ;64 ;57 ;17,578 ;- ;2 ;- ;3 ;4 ;- ;78 ;345 ;78 ;2 ;34 ;'998 ;262 ;487 ;- ;260 ;52 ;1,415 ;46 ;
;Lohärad ;417 ;3,006 ;121 ;825 ;14 ;73 ;25 ;170 ;1,119 ;4.478 ;8,007 ;6 ;12 ;9 ;39 ;43 ;11,182 ;- ;- ;- ;2 ;10 ;4 ;20 ;224 ;65 ;- ;14 ;677 ;181 ;248 ;- ;147 ;67 ;1,132 ;47 ;
;Malsta ;88 ;639 ;44 ;299 ;5 ;25 ;6 ;48 ;461 ;1.840 ;2.008 ;2 ;5 ;4 ;12 ;6 ;4.576 ;- ;- ;- ;1 ;;- ;18 ;86 ;25 ;- ;8 ;265 ;55 ;103 ;- ;52 ;4 ;390 ;48. ;
;Husby-Lyhundra ;298 ;2,149 ;156 ;1.068 ;15 ;78 ;16 ;102 ;995 ;3,986 ;5,506 ;8 ;17 ;13 ;43 ;35 ;12.430 ;- ;3 ;- ;1 ;3 ;0.2 ;41 ;212 ;49 ;- ;21 ;605 ;154 ;149 ;- ;95 ;61 ;790 ;49 ;
;Lyhundra härad ;1,796 ;12,449 ;817 ;5,567 ;81 ;410 ;118 ;809 ;6,764 ;27,067 ;41,581 ;84 ;74 ;57 ;283 ;210 ;67,408 ;- ;9 ;- ;10 ;18 ;4-2 ;280 ;1,266 ;306 ;6 ;127 ;3,842 ;980 ;1,499 ;- ;911 ;219 ;5,308 ;;





